line,minute_ts,records,distinct_trains,ingest_lag_avg_sec
1호선,2026-06-24T08:36:00.000Z,159,42,-32321.9
9호선,2026-06-24T07:52:00.000Z,70,31,-32309.3
9호선,2026-06-24T08:48:00.000Z,93,37,-32315.2
9호선,2026-06-24T18:18:00.000Z,90,33,-32325.8
9호선,2026-06-24T12:28:00.000Z,46,20,-32334.4
9호선,2026-06-24T08:25:00.000Z,67,26,-32330.3
9호선,2026-06-24T18:46:00.000Z,97,34,-32348.8
9호선,2026-06-24T12:08:00.000Z,39,18,-32336.1
9호선,2026-06-24T12:55:00.000Z,37,22,-32352.8
9호선,2026-06-24T18:56:00.000Z,86,34,-32338.4
9호선,2026-06-24T12:27:00.000Z,31,15,-32341.0
1호선,2026-06-24T18:06:00.000Z,196,40,-32317.6
9호선,2026-06-24T07:53:00.000Z,70,32,-32332.6
2호선,2026-06-24T08:58:00.000Z,105,52,-32357.7
9호선,2026-06-24T08:15:00.000Z,111,32,-32318.7
2호선,2026-06-24T08:15:00.000Z,166,49,-32332.0
9호선,2026-06-16T16:40:00.000Z,66,21,-30372.6
9호선,2026-06-24T12:18:00.000Z,43,21,-32360.9
2호선,2026-06-24T18:18:00.000Z,104,47,-32344.6
1호선,2026-06-24T12:59:00.000Z,28,26,-32373.3
9호선,2026-06-24T12:39:00.000Z,39,18,-32334.4
2호선,2026-06-24T07:57:00.000Z,131,44,-32343.7
1호선,2026-06-24T08:33:00.000Z,203,48,-32306.1
9호선,2026-06-16T16:48:00.000Z,42,15,-30621.0
1호선,2026-06-24T12:11:00.000Z,143,44,-32309.0
1호선,2026-06-24T18:04:00.000Z,175,43,-32325.1
9호선,2026-06-24T08:56:00.000Z,65,32,-32347.6
9호선,2026-06-24T08:49:00.000Z,122,38,-32322.6
9호선,2026-06-24T18:40:00.000Z,94,41,-32325.7
2호선,2026-06-24T18:21:00.000Z,125,47,-32346.5
1호선,2026-06-24T08:08:00.000Z,194,47,-32325.7
9호선,2026-06-24T18:27:00.000Z,106,36,-32329.2
2호선,2026-06-24T12:24:00.000Z,45,23,-32346.3
2호선,2026-06-24T12:00:00.000Z,54,28,-32352.2
9호선,2026-06-24T08:46:00.000Z,104,41,-32320.8
2호선,2026-06-24T12:46:00.000Z,50,29,-32347.2
1호선,2026-06-24T08:42:00.000Z,210,55,-32301.3
9호선,2026-06-16T16:56:00.000Z,54,18,-30862.8
2호선,2026-06-24T08:37:00.000Z,152,54,-32334.2
1호선,2026-06-24T12:33:00.000Z,159,41,-32323.0
2호선,2026-06-24T12:03:00.000Z,52,27,-32362.0
1호선,2026-06-24T08:37:00.000Z,209,47,-32314.0
9호선,2026-06-24T18:02:00.000Z,63,25,-32328.4
9호선,2026-06-24T12:20:00.000Z,28,18,-32343.7
1호선,2026-06-24T18:09:00.000Z,140,39,-32324.7
9호선,2026-06-24T12:31:00.000Z,26,17,-32356.7
9호선,2026-06-16T17:15:00.000Z,94,27,-31429.6
2호선,2026-06-24T08:36:00.000Z,120,51,-32338.0
9호선,2026-06-24T08:39:00.000Z,114,36,-32337.1
9호선,2026-06-16T16:26:00.000Z,80,25,-29965.8
9호선,2026-06-24T08:03:00.000Z,75,33,-32337.9
1호선,2026-06-24T08:31:00.000Z,162,51,-32301.2
9호선,2026-06-16T17:36:00.000Z,37,23,-31782.2
2호선,2026-06-24T18:01:00.000Z,99,40,-32337.6
2호선,2026-06-24T08:12:00.000Z,148,45,-32324.8
9호선,2026-06-24T12:02:00.000Z,50,22,-32309.6
1호선,2026-06-24T08:04:00.000Z,154,44,-32327.3
2호선,2026-06-24T12:22:00.000Z,61,29,-32342.6
2호선,2026-06-24T18:05:00.000Z,126,48,-32347.6
9호선,2026-06-24T12:16:00.000Z,41,19,-32334.6
1호선,2026-06-24T12:45:00.000Z,84,32,-32339.5
9호선,2026-06-24T18:51:00.000Z,71,29,-32347.0
9호선,2026-06-16T16:49:00.000Z,78,26,-30650.0
9호선,2026-06-16T17:39:00.000Z,38,25,-31961.1
1호선,2026-06-24T18:16:00.000Z,223,52,-32318.1
2호선,2026-06-24T08:24:00.000Z,103,41,-32328.1
2호선,2026-06-24T18:22:00.000Z,107,39,-32339.6
9호선,2026-06-24T12:13:00.000Z,45,23,-32325.4
2호선,2026-06-24T08:57:00.000Z,139,52,-32353.8
9호선,2026-06-24T12:41:00.000Z,57,24,-32299.1
9호선,2026-06-16T17:34:00.000Z,38,27,-31666.3
9호선,2026-06-16T16:35:00.000Z,46,18,-30240.0
2호선,2026-06-24T08:19:00.000Z,163,49,-32325.8
9호선,2026-06-24T08:33:00.000Z,103,29,-32316.2
1호선,2026-06-24T18:49:00.000Z,172,49,-32328.2
2호선,2026-06-24T08:51:00.000Z,83,44,-32339.8
9호선,2026-06-24T08:42:00.000Z,82,33,-32321.9
1호선,2026-06-24T07:48:00.000Z,20,8,-32180.2
9호선,2026-06-16T16:39:00.000Z,68,24,-30356.6
1호선,2026-06-24T18:43:00.000Z,175,43,-32325.9
1호선,2026-06-24T08:10:00.000Z,203,47,-32318.8
9호선,2026-06-24T18:00:00.000Z,65,30,-32327.4
9호선,2026-06-16T16:36:00.000Z,66,21,-30263.7
1호선,2026-06-24T12:48:00.000Z,90,32,-32316.2
1호선,2026-06-24T18:00:00.000Z,195,48,-32312.1
2호선,2026-06-24T12:34:00.000Z,48,28,-32352.9
9호선,2026-06-24T12:46:00.000Z,34,19,-32332.4
2호선,2026-06-24T12:38:00.000Z,44,28,-32355.5
9호선,2026-06-24T18:15:00.000Z,91,30,-32321.4
2호선,2026-06-24T12:10:00.000Z,51,28,-32355.3
1호선,2026-06-24T12:07:00.000Z,100,36,-32329.0
9호선,2026-06-24T18:07:00.000Z,83,26,-32307.1
1호선,2026-06-24T12:04:00.000Z,124,37,-32315.9
1호선,2026-06-24T18:28:00.000Z,224,54,-32319.2
1호선,2026-06-24T18:45:00.000Z,212,50,-32323.5
1호선,2026-06-24T08:40:00.000Z,224,54,-32314.3
1호선,2026-06-24T12:28:00.000Z,126,39,-32313.1
2호선,2026-06-24T12:59:00.000Z,15,15,-32366.5
2호선,2026-06-24T08:16:00.000Z,134,48,-32331.4
1호선,2026-06-24T12:00:00.000Z,97,32,-32332.6
2호선,2026-06-24T12:28:00.000Z,48,25,-32345.3
2호선,2026-06-24T18:34:00.000Z,128,47,-32340.1
2호선,2026-06-24T12:09:00.000Z,53,27,-32347.0
9호선,2026-06-24T12:38:00.000Z,39,19,-32337.5
9호선,2026-06-24T18:32:00.000Z,82,34,-32335.1
9호선,2026-06-24T12:40:00.000Z,39,22,-32347.5
1호선,2026-06-24T12:47:00.000Z,129,40,-32327.0
1호선,2026-06-24T08:45:00.000Z,191,46,-32315.5
2호선,2026-06-24T08:25:00.000Z,118,38,-32334.5
1호선,2026-06-24T12:55:00.000Z,104,30,-32316.4
9호선,2026-06-24T08:10:00.000Z,90,29,-32341.4
2호선,2026-06-24T18:15:00.000Z,130,46,-32340.2
1호선,2026-06-24T12:41:00.000Z,100,32,-32293.9
2호선,2026-06-24T18:45:00.000Z,135,42,-32341.7
9호선,2026-06-24T08:40:00.000Z,109,37,-32333.2
1호선,2026-06-24T11:55:00.000Z,1,1,-32130.0
9호선,2026-06-16T17:20:00.000Z,66,22,-31587.3
9호선,2026-06-16T17:43:00.000Z,34,25,-32202.9
1호선,2026-06-24T08:03:00.000Z,236,52,-32321.8
9호선,2026-06-16T16:41:00.000Z,66,23,-30410.5
9호선,2026-06-16T16:38:00.000Z,62,19,-30312.3
2호선,2026-06-24T08:34:00.000Z,134,58,-32338.2
2호선,2026-06-24T08:55:00.000Z,124,47,-32347.1
2호선,2026-06-24T08:02:00.000Z,153,57,-32352.0
1호선,2026-06-24T12:31:00.000Z,103,35,-32330.5
2호선,2026-06-24T18:38:00.000Z,93,38,-32345.6
2호선,2026-06-24T12:48:00.000Z,50,26,-32341.1
2호선,2026-06-24T12:14:00.000Z,51,27,-32351.3
1호선,2026-06-24T08:46:00.000Z,211,51,-32312.0
9호선,2026-06-24T18:20:00.000Z,83,33,-32343.4
9호선,2026-06-24T12:45:00.000Z,42,22,-32348.0
9호선,2026-06-16T17:05:00.000Z,68,23,-31134.7
9호선,2026-06-24T18:03:00.000Z,76,29,-32328.7
9호선,2026-06-24T18:01:00.000Z,93,32,-32325.5
1호선,2026-06-24T12:24:00.000Z,82,28,-32322.6
1호선,2026-06-24T11:57:00.000Z,13,9,-32238.5
